Please Reference Data Source with the following Citation Format:,,,
Kane, D.L. and Hinzman L.D., [year of retrieval], Climate data from the North Slope Hydrology Research project.
6/29/2003 0:00,7777,,
6/30/2003 0:00,7777,,
7/1/2003 0:00,7777,,
7/2/2003 0:00,7777,,
7/3/2003 0:00,7777,,
7/4/2003 0:00,7777,,
7/5/2003 0:00,7777,,
7/6/2003 0:00,7777,,
7/7/2003 0:00,7777,,
7/8/2003 0:00,7777,,
7/9/2003 0:00,7777,,
7/10/2003 0:00,7777,,
7/11/2003 0:00,7777,,
7/12/2003 0:00,7777,,
7/13/2003 0:00,7777,,
7/14/2003 0:00,7777,,
7/15/2003 0:00,7777,,
7/16/2003 0:00,7777,,
7/17/2003 0:00,7777,,
7/18/2003 0:00,7777,,
7/19/2003 0:00,7777,,
7/20/2003 0:00,7777,,
7/21/2003 0:00,7777,,
7/22/2003 0:00,7777,,
7/23/2003 0:00,7777,,
7/24/2003 0:00,7777,,
7/25/2003 0:00,7777,,
7/26/2003 0:00,7777,,
